# Average monthly mean CO2 concentration for Mauna Loa and South Pole
# Monthly values have been seasonally detrended and are averaged at
# midnight on the 15th of each month
# 17-May-2022 14:09:52
#
# Flag:
#   0 Both MLO and SPO data are real monthly averages
#   1 MLO value is filled from seasonally detrended spline fit
#  2 SPO value is filled from seasonally detrended spline fit
#  3 MLO and SPO values are filled from seasonally detrended spline fit
#   
# CO2 concentrations are reported on the Scripps '12' calibration scale
#
# Yr, Mn, Flag,     MLO,     SPO, Average
2008,06,   0, 385.56, 382.42, 383.99
2008,07,   0, 385.47, 382.61, 384.04
2008,08,   0, 385.58, 382.75, 384.16
2008,09,   0, 386.44, 382.88, 384.66
2008,10,   0, 386.23, 382.83, 384.53
2008,11,   0, 386.17, 383.08, 384.62
2008,12,   0, 385.98, 383.26, 384.62
2009,01,   0, 386.56, 383.56, 385.06
2009,02,   0, 386.35, 383.55, 384.95
2009,03,   0, 387.01, 383.74, 385.38
2009,04,   0, 386.86, 383.91, 385.38
2009,05,   0, 386.86, 383.91, 385.38
2009,06,   0, 387.11, 384.08, 385.60
2009,07,   0, 387.27, 384.25, 385.76
2009,08,   0, 387.57, 384.25, 385.91
2009,09,   0, 388.03, 384.37, 386.20
2009,10,   0, 387.83, 384.59, 386.21
2009,11,   0, 388.25, 384.72, 386.49
2009,12,   0, 388.38, 384.82, 386.60
2010,01,   0, 388.49, 385.12, 386.81
2010,02,   0, 389.32, 385.01, 387.16
2010,03,   0, 389.52, 385.28, 387.40
2010,04,   0, 389.69, 385.43, 387.56
2010,05,   0, 389.94, 385.53, 387.74
2010,06,   0, 389.76, 385.89, 387.82
2010,07,   0, 389.56, 386.31, 387.94
2010,08,   0, 390.04, 386.56, 388.30
2010,09,   0, 390.25, 386.87, 388.56
2010,10,   0, 390.69, 386.90, 388.79
2010,11,   0, 390.90, 386.93, 388.91
2010,12,   0, 390.73, 387.21, 388.97
2011,01,   0, 391.26, 387.37, 389.31
2011,02,   0, 391.20, 387.79, 389.50
2011,03,   0, 390.99, 387.50, 389.25
2011,04,   0, 390.70, 387.59, 389.14
2011,05,   0, 391.02, 387.60, 389.31
2011,06,   0, 391.24, 387.86, 389.55
2011,07,   0, 391.86, 387.92, 389.89
2011,08,   0, 391.76, 388.17, 389.97
2011,09,   0, 392.46, 388.29, 390.38
2011,10,   0, 392.50, 388.63, 390.56
2011,11,   0, 392.51, 388.83, 390.67
2011,12,   0, 392.76, 388.63, 390.69
2012,01,   0, 393.07, 389.14, 391.11
2012,02,   0, 392.66, 389.23, 390.95
2012,03,   0, 392.90, 389.36, 391.13
2012,04,   0, 393.77, 389.45, 391.61
2012,05,   0, 393.64, 389.66, 391.65
2012,06,   0, 393.48, 389.76, 391.62
2012,07,   0, 393.85, 390.22, 392.04
2012,08,   0, 394.15, 390.56, 392.36
2012,09,   0, 394.63, 390.72, 392.68
2012,10,   0, 394.62, 390.85, 392.74
2012,11,   0, 395.24, 390.92, 393.08
2012,12,   0, 395.32, 391.32, 393.32
2013,01,   0, 395.63, 391.40, 393.51
2013,02,   0, 396.17, 391.73, 393.95
2013,03,   0, 395.84, 391.89, 393.87
2013,04,   0, 395.73, 392.25, 393.99
2013,05,   0, 396.74, 392.77, 394.75
2013,06,   0, 396.43, 393.09, 394.76
2013,07,   0, 396.66, 393.35, 395.00
2013,08,   0, 397.01, 393.47, 395.24
2013,09,   0, 396.90, 393.50, 395.20
2013,10,   0, 397.32, 393.58, 395.45
2013,11,   0, 397.50, 393.79, 395.64
2013,12,   0, 397.81, 394.10, 395.96
2014,01,   0, 397.94, 394.34, 396.14
2014,02,   0, 397.41, 394.49, 395.95
2014,03,   0, 398.05, 394.60, 396.33
2014,04,   0, 398.71, 394.76, 396.74
2014,05,   0, 398.65, 394.86, 396.75
2014,06,   0, 398.88, 394.87, 396.88
2014,07,   0, 398.37, 395.05, 396.71
2014,08,   0, 398.82, 395.22, 397.02
2014,09,   0, 398.93, 395.37, 397.15
2014,10,   0, 399.29, 395.61, 397.45
2014,11,   0, 399.55, 395.75, 397.65
2014,12,   0, 399.80, 396.03, 397.91
2015,01,   0, 399.88, 396.37, 398.12
2015,02,   0, 399.63, 396.42, 398.02
2015,03,   0, 400.08, 396.51, 398.29
2015,04,   0, 400.79, 396.96, 398.88
2015,05,   0, 400.69, 397.33, 399.01
2015,06,   0, 400.27, 397.58, 398.92
2015,07,   0, 400.74, 397.98, 399.36
2015,08,   0, 400.45, 397.71, 399.08
2015,09,   0, 400.88, 398.03, 399.45
2015,10,   0, 401.78, 398.13, 399.95
2015,11,   0, 402.41, 398.47, 400.44
2015,12,   0, 402.73, 398.66, 400.70
2016,01,   0, 402.51, 398.95, 400.73
2016,02,   0, 403.32, 399.28, 401.30
2016,03,   0, 403.23, 400.01, 401.62
2016,04,   0, 404.73, 399.84, 402.28
2016,05,   0, 404.24, 400.60, 402.42
2016,06,   2, 404.42, 400.63, 402.52
2016,07,   0, 403.67, 400.99, 402.33
2016,08,   0, 403.73, 401.15, 402.44
2016,09,   0, 404.42, 401.36, 402.89
2016,10,   0, 405.00, 401.58, 403.29
2016,11,   0, 405.81, 401.45, 403.63
2016,12,   0, 405.39, 401.47, 403.43
2017,01,   0, 405.94, 401.41, 403.68
2017,02,   0, 405.80, 402.05, 403.93
2017,03,   0, 405.46, 402.02, 403.74
2017,04,   0, 406.13, 401.93, 404.03
2017,05,   0, 406.48, 402.14, 404.31
2017,06,   0, 406.50, 402.30, 404.40
2017,07,   0, 406.33, 402.47, 404.40
2017,08,   0, 406.71, 402.78, 404.75
2017,09,   0, 406.67, 403.05, 404.86
2017,10,   0, 407.15, 403.26, 405.20
2017,11,   2, 407.35, 403.57, 405.46
2017,12,   0, 407.60, 403.78, 405.69
2018,01,   0, 407.91, 404.15, 406.03
2018,02,   0, 407.58, 404.38, 405.98
2018,03,   0, 407.68, 404.88, 406.28
2018,04,   0, 407.48, 404.98, 406.23
2018,05,   0, 407.86, 404.89, 406.38
2018,06,   0, 408.26, 405.14, 406.70
2018,07,   2, 408.03, 405.35, 406.69
2018,08,   0, 408.56, 405.47, 407.01
2018,09,   0, 409.00, 405.75, 407.38
2018,10,   0, 409.52, 406.01, 407.76
2018,11,   0, 410.30, 406.06, 408.18
2018,12,   0, 410.08, 406.18, 408.13
2019,01,   0, 410.78, 406.18, 408.48
2019,02,   0, 410.81, 406.82, 408.81
2019,03,   0, 410.37, 406.75, 408.56
2019,04,   0, 410.69, 406.81, 408.75
2019,05,   0, 411.38, 407.25, 409.31
2019,06,   0, 411.32, 407.48, 409.40
2019,07,   0, 410.98, 407.88, 409.43
2019,08,   0, 411.56, 408.09, 409.82
2019,09,   0, 411.97, 408.26, 410.12
2019,10,   0, 412.00, 408.48, 410.24
2019,11,   0, 412.42, 408.67, 410.55
2019,12,   0, 412.73, 409.06, 410.89
2020,01,   0, 413.24, 409.12, 411.18
2020,02,   0, 413.27, 409.35, 411.31
2020,03,   0, 412.88, 409.37, 411.12
2020,04,   0, 413.31, 409.63, 411.47
2020,05,   0, 413.76, 409.79, 411.77
2020,06,   0, 413.74, 409.88, 411.81
2020,07,   0, 413.64, 410.01, 411.82
2020,08,   0, 414.10, 410.25, 412.18
2020,09,   0, 414.69, 410.46, 412.57
2020,10,   0, 414.73, 410.54, 412.63
2020,11,   0, 415.15, 411.07, 413.11
2020,12,   0, 414.81, 411.07, 412.94
2021,01,   0, 415.08, 411.39, 413.24
2021,02,   0, 415.69, 411.38, 413.53
2021,03,   2, 415.62, 411.47, 413.55
2021,04,   0, 415.46, 411.66, 413.56
2021,05,   0, 415.55, 411.72, 413.63
2021,06,   0, 416.12, 411.79, 413.96
2021,07,   0, 415.84, 411.88, 413.86
2021,08,   0, 415.89, 412.19, 414.04
2021,09,   0, 416.41, 412.38, 414.39
2021,10,   0, 417.17, 412.93, 415.05
2021,11,   0, 417.09, 413.15, 415.12
2021,12,   0, 417.36, 413.15, 415.25
2022,01,   0, 417.94, 413.43, 415.69
2022,02,   0, 418.20, 413.59, 415.89
2022,03,   2, 416.90, 413.84, 415.37
2022,04,   2, 417.23, 414.07, 415.65
